Obstaculo	Tamaño	Densidad	MCS	Numero_agr
00x00	Nada	Nada	0	119
00x00	Nada	Nada	200	154
00x00	Nada	Nada	400	153
00x00	Nada	Nada	600	154
00x00	Nada	Nada	800	151
00x00	Nada	Nada	1000	148
00x00	Nada	Nada	1200	142
00x00	Nada	Nada	1400	138
00x00	Nada	Nada	1600	137
00x00	Nada	Nada	1800	133
00x00	Nada	Nada	2000	130
00x00	Nada	Nada	0	133
00x00	Nada	Nada	200	171
00x00	Nada	Nada	400	168
00x00	Nada	Nada	600	160
00x00	Nada	Nada	800	154
00x00	Nada	Nada	1000	147
00x00	Nada	Nada	1200	144
00x00	Nada	Nada	1400	143
00x00	Nada	Nada	1600	136
00x00	Nada	Nada	1800	131
00x00	Nada	Nada	2000	127
00x00	Nada	Nada	0	133
00x00	Nada	Nada	200	166
00x00	Nada	Nada	400	166
00x00	Nada	Nada	600	161
00x00	Nada	Nada	800	158
00x00	Nada	Nada	1000	150
00x00	Nada	Nada	1200	141
00x00	Nada	Nada	1400	141
00x00	Nada	Nada	1600	139
00x00	Nada	Nada	1800	136
00x00	Nada	Nada	2000	136
00x00	Nada	Nada	0	127
00x00	Nada	Nada	200	160
00x00	Nada	Nada	400	158
00x00	Nada	Nada	600	154
00x00	Nada	Nada	800	154
00x00	Nada	Nada	1000	153
00x00	Nada	Nada	1200	148
00x00	Nada	Nada	1400	143
00x00	Nada	Nada	1600	141
00x00	Nada	Nada	1800	145
00x00	Nada	Nada	2000	137
00x00	Nada	Nada	0	128
00x00	Nada	Nada	200	164
00x00	Nada	Nada	400	159
00x00	Nada	Nada	600	155
00x00	Nada	Nada	800	153
00x00	Nada	Nada	1000	150
00x00	Nada	Nada	1200	147
00x00	Nada	Nada	1400	143
00x00	Nada	Nada	1600	140
00x00	Nada	Nada	1800	133
00x00	Nada	Nada	2000	128
00x00	Nada	Nada	0	127
00x00	Nada	Nada	200	161
00x00	Nada	Nada	400	163
00x00	Nada	Nada	600	156
00x00	Nada	Nada	800	152
00x00	Nada	Nada	1000	145
00x00	Nada	Nada	1200	148
00x00	Nada	Nada	1400	142
00x00	Nada	Nada	1600	139
00x00	Nada	Nada	1800	126
00x00	Nada	Nada	2000	127
00x00	Nada	Nada	0	128
00x00	Nada	Nada	200	171
00x00	Nada	Nada	400	167
00x00	Nada	Nada	600	161
00x00	Nada	Nada	800	155
00x00	Nada	Nada	1000	159
00x00	Nada	Nada	1200	151
00x00	Nada	Nada	1400	153
00x00	Nada	Nada	1600	145
00x00	Nada	Nada	1800	138
00x00	Nada	Nada	2000	139
00x00	Nada	Nada	0	146
00x00	Nada	Nada	200	170
00x00	Nada	Nada	400	167
00x00	Nada	Nada	600	160
00x00	Nada	Nada	800	157
00x00	Nada	Nada	1000	151
00x00	Nada	Nada	1200	138
00x00	Nada	Nada	1400	138
00x00	Nada	Nada	1600	132
00x00	Nada	Nada	1800	131
00x00	Nada	Nada	2000	123
00x00	Nada	Nada	0	139
00x00	Nada	Nada	200	166
00x00	Nada	Nada	400	162
00x00	Nada	Nada	600	152
00x00	Nada	Nada	800	150
00x00	Nada	Nada	1000	140
00x00	Nada	Nada	1200	131
00x00	Nada	Nada	1400	127
00x00	Nada	Nada	1600	125
00x00	Nada	Nada	1800	122
00x00	Nada	Nada	2000	117
00x00	Nada	Nada	0	138
00x00	Nada	Nada	200	171
00x00	Nada	Nada	400	173
00x00	Nada	Nada	600	161
00x00	Nada	Nada	800	158
00x00	Nada	Nada	1000	148
00x00	Nada	Nada	1200	145
00x00	Nada	Nada	1400	140
00x00	Nada	Nada	1600	130
00x00	Nada	Nada	1800	134
00x00	Nada	Nada	2000	132
03x30	Bajo	Medio	0	132
03x30	Bajo	Medio	50	168
03x30	Bajo	Medio	100	166
03x30	Bajo	Medio	150	166
03x30	Bajo	Medio	200	162
03x30	Bajo	Medio	250	164
03x30	Bajo	Medio	300	164
03x30	Bajo	Medio	350	162
03x30	Bajo	Medio	400	160
03x30	Bajo	Medio	450	162
03x30	Bajo	Medio	500	158
03x30	Bajo	Medio	550	154
03x30	Bajo	Medio	600	153
03x30	Bajo	Medio	650	149
03x30	Bajo	Medio	700	149
03x30	Bajo	Medio	750	151
03x30	Bajo	Medio	800	147
03x30	Bajo	Medio	850	144
03x30	Bajo	Medio	900	150
03x30	Bajo	Medio	950	145
03x30	Bajo	Medio	1000	144
03x30	Bajo	Medio	1050	145
03x30	Bajo	Medio	1100	149
03x30	Bajo	Medio	1150	151
03x30	Bajo	Medio	1200	148
03x30	Bajo	Medio	1250	146
03x30	Bajo	Medio	1300	146
03x30	Bajo	Medio	1350	145
03x30	Bajo	Medio	1400	142
03x30	Bajo	Medio	1450	138
03x30	Bajo	Medio	1500	139
03x30	Bajo	Medio	1550	141
03x30	Bajo	Medio	1600	137
03x30	Bajo	Medio	1650	138
03x30	Bajo	Medio	1700	134
03x30	Bajo	Medio	1750	132
03x30	Bajo	Medio	1800	131
03x30	Bajo	Medio	1850	131
03x30	Bajo	Medio	1900	129
03x30	Bajo	Medio	1950	129
03x30	Bajo	Medio	2000	128
03x30	Bajo	Medio	0	127
03x30	Bajo	Medio	50	160
03x30	Bajo	Medio	100	159
03x30	Bajo	Medio	150	159
03x30	Bajo	Medio	200	157
03x30	Bajo	Medio	250	158
03x30	Bajo	Medio	300	154
03x30	Bajo	Medio	350	154
03x30	Bajo	Medio	400	155
03x30	Bajo	Medio	450	151
03x30	Bajo	Medio	500	151
03x30	Bajo	Medio	550	146
03x30	Bajo	Medio	600	148
03x30	Bajo	Medio	650	146
03x30	Bajo	Medio	700	144
03x30	Bajo	Medio	750	143
03x30	Bajo	Medio	800	140
03x30	Bajo	Medio	850	140
03x30	Bajo	Medio	900	137
03x30	Bajo	Medio	950	135
03x30	Bajo	Medio	1000	134
03x30	Bajo	Medio	1050	137
03x30	Bajo	Medio	1100	138
03x30	Bajo	Medio	1150	135
03x30	Bajo	Medio	1200	132
03x30	Bajo	Medio	1250	132
03x30	Bajo	Medio	1300	132
03x30	Bajo	Medio	1350	128
03x30	Bajo	Medio	1400	131
03x30	Bajo	Medio	1450	128
03x30	Bajo	Medio	1500	130
03x30	Bajo	Medio	1550	128
03x30	Bajo	Medio	1600	132
03x30	Bajo	Medio	1650	129
03x30	Bajo	Medio	1700	126
03x30	Bajo	Medio	1750	131
03x30	Bajo	Medio	1800	129
03x30	Bajo	Medio	1850	126
03x30	Bajo	Medio	1900	124
