Obstaculo	Tamaño	Densidad	MCS	Tamaño_ag
00x00	Nada	Nada	0	6.4
00x00	Nada	Nada	200	10.4
00x00	Nada	Nada	400	12
00x00	Nada	Nada	600	12.8
00x00	Nada	Nada	800	14.2
00x00	Nada	Nada	1000	15
00x00	Nada	Nada	1200	14
00x00	Nada	Nada	1400	15.6
00x00	Nada	Nada	1600	15.2
00x00	Nada	Nada	1800	16.4
00x00	Nada	Nada	2000	15.4
00x00	Nada	Nada	0	4.8
00x00	Nada	Nada	200	8.4
00x00	Nada	Nada	400	9.2
00x00	Nada	Nada	600	9.6
00x00	Nada	Nada	800	9.8
00x00	Nada	Nada	1000	12
00x00	Nada	Nada	1200	13.2
00x00	Nada	Nada	1400	13
00x00	Nada	Nada	1600	14.6
00x00	Nada	Nada	1800	17.6
00x00	Nada	Nada	2000	19.6
00x00	Nada	Nada	0	6.4
00x00	Nada	Nada	200	10.2
00x00	Nada	Nada	400	10
00x00	Nada	Nada	600	11
00x00	Nada	Nada	800	11.2
00x00	Nada	Nada	1000	11.2
00x00	Nada	Nada	1200	11.8
00x00	Nada	Nada	1400	11.4
00x00	Nada	Nada	1600	11.6
00x00	Nada	Nada	1800	11.8
00x00	Nada	Nada	2000	14
00x00	Nada	Nada	0	7
00x00	Nada	Nada	200	10.6
00x00	Nada	Nada	400	16.4
00x00	Nada	Nada	600	16.4
00x00	Nada	Nada	800	16
00x00	Nada	Nada	1000	20.2
00x00	Nada	Nada	1200	21
00x00	Nada	Nada	1400	19
00x00	Nada	Nada	1600	18
00x00	Nada	Nada	1800	19
00x00	Nada	Nada	2000	18
00x00	Nada	Nada	0	8
00x00	Nada	Nada	200	12.2
00x00	Nada	Nada	400	12.4
00x00	Nada	Nada	600	14.6
00x00	Nada	Nada	800	15.4
00x00	Nada	Nada	1000	16.2
00x00	Nada	Nada	1200	17.4
00x00	Nada	Nada	1400	17.6
00x00	Nada	Nada	1600	17.6
00x00	Nada	Nada	1800	19.4
00x00	Nada	Nada	2000	20.4
00x00	Nada	Nada	0	5.8
00x00	Nada	Nada	200	7.8
00x00	Nada	Nada	400	10.8
00x00	Nada	Nada	600	11.2
00x00	Nada	Nada	800	12.4
00x00	Nada	Nada	1000	11.8
00x00	Nada	Nada	1200	12
00x00	Nada	Nada	1400	11.6
00x00	Nada	Nada	1600	12
00x00	Nada	Nada	1800	12.8
00x00	Nada	Nada	2000	14.2
00x00	Nada	Nada	0	5.6
00x00	Nada	Nada	200	11.2
00x00	Nada	Nada	400	11.2
00x00	Nada	Nada	600	12.6
00x00	Nada	Nada	800	12
00x00	Nada	Nada	1000	12
00x00	Nada	Nada	1200	11.2
00x00	Nada	Nada	1400	11.6
00x00	Nada	Nada	1600	14
00x00	Nada	Nada	1800	14.8
00x00	Nada	Nada	2000	15.2
00x00	Nada	Nada	0	6.6
00x00	Nada	Nada	200	9
00x00	Nada	Nada	400	8.6
00x00	Nada	Nada	600	10
00x00	Nada	Nada	800	10.2
00x00	Nada	Nada	1000	12
00x00	Nada	Nada	1200	14.6
00x00	Nada	Nada	1400	16
00x00	Nada	Nada	1600	18.8
00x00	Nada	Nada	1800	17
00x00	Nada	Nada	2000	19.8
00x00	Nada	Nada	0	5.8
00x00	Nada	Nada	200	11.6
00x00	Nada	Nada	400	13.2
00x00	Nada	Nada	600	14.6
00x00	Nada	Nada	800	15.8
00x00	Nada	Nada	1000	15.6
00x00	Nada	Nada	1200	17.2
00x00	Nada	Nada	1400	17
00x00	Nada	Nada	1600	15.8
00x00	Nada	Nada	1800	16.4
00x00	Nada	Nada	2000	20
00x00	Nada	Nada	0	6.2
00x00	Nada	Nada	200	10
00x00	Nada	Nada	400	9.6
00x00	Nada	Nada	600	12
00x00	Nada	Nada	800	14.2
00x00	Nada	Nada	1000	15
00x00	Nada	Nada	1200	15.6
00x00	Nada	Nada	1400	14.8
00x00	Nada	Nada	1600	19.4
00x00	Nada	Nada	1800	15.6
00x00	Nada	Nada	2000	16
03x30	Bajo	Medio	0	6.4
03x30	Bajo	Medio	50	7.6
03x30	Bajo	Medio	100	7.6
03x30	Bajo	Medio	150	9
03x30	Bajo	Medio	200	10
03x30	Bajo	Medio	250	10
03x30	Bajo	Medio	300	10
03x30	Bajo	Medio	350	9.6
03x30	Bajo	Medio	400	10
03x30	Bajo	Medio	450	11.4
03x30	Bajo	Medio	500	11.6
03x30	Bajo	Medio	550	11
03x30	Bajo	Medio	600	10.4
03x30	Bajo	Medio	650	12
03x30	Bajo	Medio	700	12.6
03x30	Bajo	Medio	750	12.6
03x30	Bajo	Medio	800	12.2
03x30	Bajo	Medio	850	12
03x30	Bajo	Medio	900	13.2
03x30	Bajo	Medio	950	13.2
03x30	Bajo	Medio	1000	13.4
03x30	Bajo	Medio	1050	14.4
03x30	Bajo	Medio	1100	13.6
03x30	Bajo	Medio	1150	14.8
03x30	Bajo	Medio	1200	14.8
03x30	Bajo	Medio	1250	15.8
03x30	Bajo	Medio	1300	15.2
03x30	Bajo	Medio	1350	15.2
03x30	Bajo	Medio	1400	15.6
03x30	Bajo	Medio	1450	15.6
03x30	Bajo	Medio	1500	16.8
03x30	Bajo	Medio	1550	16.8
03x30	Bajo	Medio	1600	16.6
03x30	Bajo	Medio	1650	16.8
03x30	Bajo	Medio	1700	19
03x30	Bajo	Medio	1750	19.2
03x30	Bajo	Medio	1800	19.4
03x30	Bajo	Medio	1850	19.4
03x30	Bajo	Medio	1900	19.4
03x30	Bajo	Medio	1950	19.4
03x30	Bajo	Medio	2000	18.2
03x30	Bajo	Medio	0	5.8
03x30	Bajo	Medio	50	7.4
03x30	Bajo	Medio	100	8.4
03x30	Bajo	Medio	150	9.2
03x30	Bajo	Medio	200	9.6
03x30	Bajo	Medio	250	10.4
03x30	Bajo	Medio	300	11.6
03x30	Bajo	Medio	350	11.6
03x30	Bajo	Medio	400	10.6
03x30	Bajo	Medio	450	11.6
03x30	Bajo	Medio	500	11.6
03x30	Bajo	Medio	550	12.2
03x30	Bajo	Medio	600	12.2
03x30	Bajo	Medio	650	11.8
03x30	Bajo	Medio	700	12.4
03x30	Bajo	Medio	750	13
03x30	Bajo	Medio	800	13
03x30	Bajo	Medio	850	13
03x30	Bajo	Medio	900	13.4
03x30	Bajo	Medio	950	14.6
03x30	Bajo	Medio	1000	14
03x30	Bajo	Medio	1050	15.2
03x30	Bajo	Medio	1100	15.4
03x30	Bajo	Medio	1150	15.6
03x30	Bajo	Medio	1200	15.6
03x30	Bajo	Medio	1250	13.8
03x30	Bajo	Medio	1300	14.6
03x30	Bajo	Medio	1350	14.6
03x30	Bajo	Medio	1400	14.4
03x30	Bajo	Medio	1450	14.6
03x30	Bajo	Medio	1500	12
03x30	Bajo	Medio	1550	12.6
03x30	Bajo	Medio	1600	13.6
03x30	Bajo	Medio	1650	13
03x30	Bajo	Medio	1700	15
03x30	Bajo	Medio	1750	16.8
03x30	Bajo	Medio	1800	14.6
03x30	Bajo	Medio	1850	15.4
03x30	Bajo	Medio	1900	16.2
03x30	Bajo	Medio	1950	16
03x30	Bajo	Medio	2000	16
03x30	Bajo	Medio	0	6.4
