MCS	Replica	Neigh	Numero_ag	Tamaño_ag
0	R1	0.45	119	6.4
200	R1	0.732857143	154	10.4
400	R1	0.785714286	153	12
600	R1	0.824285714	154	12.8
800	R1	0.842857143	151	14.2
1000	R1	0.861428571	148	15
1200	R1	0.878571429	142	14
1400	R1	0.894285714	138	15.6
1600	R1	0.905714286	137	15.2
1800	R1	0.911428571	133	16.4
2000	R1	0.917142857	130	15.4
2200	R1	0.917142857	129	15
2400	R1	0.92	122	16.6
2600	R1	0.918571429	122	17.4
2800	R1	0.918571429	120	17.4
3000	R1	0.918571429	117	16.8
3200	R1	0.925714286	116	16.6
3400	R1	0.93	108	20.2
3600	R1	0.927142857	110	20
3800	R1	0.928571429	110	20.8
4000	R1	0.931428571	110	21.2
4200	R1	0.932857143	109	19
4400	R1	0.932857143	108	18.8
4600	R1	0.934285714	106	18.4
4800	R1	0.934285714	103	21.2
5000	R1	0.935714286	103	20.2
5200	R1	0.937142857	101	19.8
5400	R1	0.941428571	97	21.2
5600	R1	0.938571429	96	20.4
5800	R1	0.94	102	20.2
6000	R1	0.94	106	20.2
6200	R1	0.941428571	101	20.8
6400	R1	0.94	97	23.8
6600	R1	0.94	100	19.4
6800	R1	0.941428571	99	16.8
7000	R1	0.937142857	97	20.2
7200	R1	0.941428571	99	22.8
7400	R1	0.941428571	98	22.4
7600	R1	0.941428571	98	25
7800	R1	0.94	96	26.4
8000	R1	0.942857143	93	28.2
8200	R1	0.945714286	96	29.6
8400	R1	0.942857143	101	28.6
8600	R1	0.941428571	100	28.6
8800	R1	0.941428571	99	28.8
9000	R1	0.942857143	93	32
9200	R1	0.944285714	90	34.8
9400	R1	0.941428571	89	28
9600	R1	0.942857143	91	32
9800	R1	0.941428571	91	31.2
10000	R1	0.942857143	89	30.2
0	R2	0.477142857	133	5
200	R2	0.765714286	171	8.4
400	R2	0.828571429	168	9.2
600	R2	0.85	160	9.6
800	R2	0.868571429	154	9.8
1000	R2	0.882857143	147	12
1200	R2	0.882857143	144	13.2
1400	R2	0.898571429	143	13.2
1600	R2	0.904285714	136	14.6
1800	R2	0.915714286	131	17.6
2000	R2	0.917142857	127	19.6
2200	R2	0.921428571	132	17.2
2400	R2	0.927142857	124	19.4
2600	R2	0.927142857	121	19.2
2800	R2	0.932857143	115	20.8
3000	R2	0.934285714	110	20
3200	R2	0.932857143	112	19.8
3400	R2	0.935714286	111	18.8
3600	R2	0.941428571	109	17.8
3800	R2	0.942857143	102	19.2
4000	R2	0.941428571	102	21.4
4200	R2	0.942857143	100	20
4400	R2	0.942857143	107	18.8
4600	R2	0.942857143	101	21
4800	R2	0.942857143	99	19
5000	R2	0.948571429	96	19.6
5200	R2	0.947142857	92	22.8
5400	R2	0.947142857	95	23.8
5600	R2	0.945714286	91	24.8
5800	R2	0.945714286	97	22
6000	R2	0.948571429	96	22.2
6200	R2	0.948571429	97	22.8
6400	R2	0.95	99	23.6
6600	R2	0.95	103	23.6
6800	R2	0.95	104	24.8
7000	R2	0.951428571	100	24.4
7200	R2	0.948571429	97	24.4
7400	R2	0.951428571	90	26.4
7600	R2	0.951428571	93	26.4
7800	R2	0.952857143	88	29.6
8000	R2	0.952857143	94	26.6
8200	R2	0.951428571	94	23.4
8400	R2	0.952857143	91	23.6
8600	R2	0.951428571	87	28
8800	R2	0.952857143	82	30
9000	R2	0.952857143	83	29.2
9200	R2	0.952857143	84	27.4
9400	R2	0.952857143	89	29
9600	R2	0.952857143	84	28.8
9800	R2	0.951428571	78	30.6
10000	R2	0.951428571	77	32.4
0	R3	0.524285714	133	6.4
200	R3	0.788571429	166	10.2
400	R3	0.844285714	166	10
600	R3	0.872857143	161	11
800	R3	0.885714286	158	11.2
1000	R3	0.891428571	150	11.2
1200	R3	0.892857143	141	11.8
1400	R3	0.901428571	141	11.4
