Variable	Parametro	Numero_ag	Error
Densidad_celular	25	0.9	0.221359436
Densidad_celular	50	5.4	0.404969135
Densidad_celular	100	16.4	0.428952212
Densidad_celular	300	77.2	1.075174404
Densidad_celular	500	111.6	0.918694726
Densidad_celular	700	129.6	2.020890893
Densidad_celular	900	130.1	1.51294415
Densidad_celular	1100	120.1	2.099761891
Densidad_celular	1300	102.3	2.03002463
Densidad_celular	1500	82.9	1.220245877
Curvatura	0	125.7	2.705734651
Curvatura	100	131.1	2.487770086
Curvatura	10000	131.2	1.713475999
Curvatura	1000000	129.6	2.020890893
Curvatura	100000000	133.5	2.187464285
Curvatura	10000000000	130.2	2.252998003
Atracción_por_slime	0	167	1.549193338
Atracción_por_slime	5	133.6	2.055237213
Atracción_por_slime	10	129.6	2.020890893
Atracción_por_slime	15	124.5	2.490983741
Atracción_por_slime	20	131	1.61245155
Atracción_por_slime	25	127.8	1.547901806
Atracción_por_slime	30	128.9	1.564928113
Decaimiento_de_slime	0.003	124	1.542724862
Decaimiento_de_slime	0.006	129.6	2.020890893
Decaimiento_de_slime	0.009	133	2.336664289
Decaimiento_de_slime	0.05	144.5	1.698528775
Decaimiento_de_slime	0.09	153.7	2.020148509
Decaimiento_de_slime	0.5	168.1	2.051584753
Decaimiento_de_slime	0.9	170.5	1.498332406
Adhesión	2	129.1	1.8732325
Adhesión	3	129.6	2.020890893
Adhesión	4	133.4	1.457394936
Adhesión	6	141.9	2.031994094
Adhesión	8	148.3	2.26296266
Adhesión	10	158.1	2.017176244
