Particula	Nombre	Area	Tamaño
6x6	a	22500	15
6x6	a	22500	3
6x6	a	22500	8
6x6	a	22500	7
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	8
6x6	a	22500	7
6x6	a	22500	3
6x6	a	22500	6
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	6
6x6	a	22500	5
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	8
6x6	a	22500	2
6x6	a	22500	5
6x6	a	22500	2
6x6	a	22500	6
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	4
6x6	a	22500	7
6x6	a	22500	15
6x6	a	22500	15
6x6	a	22500	13
6x6	a	22500	4
6x6	a	22500	5
6x6	a	22500	6
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	6
6x6	a	22500	4
6x6	a	22500	4
6x6	a	22500	2
6x6	a	22500	6
6x6	a	22500	4
6x6	a	22500	4
6x6	a	22500	6
6x6	a	22500	4
6x6	a	22500	8
6x6	a	22500	7
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	4
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	7
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	5
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	9
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	8
6x6	a	22500	7
6x6	a	22500	3
6x6	a	22500	6
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	5
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	5
6x6	a	22500	5
6x6	a	22500	4
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	4
6x6	a	22500	6
6x6	a	22500	4
6x6	a	22500	5
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	4
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	6
6x6	a	22500	3
6x6	a	22500	6
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	6
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	3
6x6	a	22500	6
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	5
6x6	a	22500	3
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	4
6x6	a	22500	10
6x6	a	22500	4
6x6	a	22500	4
6x6	a	22500	4
6x6	a	22500	3
6x6	a	22500	2
6x6	a	22500	5
6x6	a	22500	8
6x6	a	22500	10
6x6	a	22500	8
6x6	a	22500	5
6x6	a	22500	5
6x6	a	22500	14
6x6	a	22500	4
6x6	a	22500	7
6x6	a	22500	5
6x6	a	22500	9
6x6	a	22500	9
6x6	a	22500	2
6x6	a	22500	2
6x6	a	22500	5
6x6	a	22500	7
6x6	a	22500	2
6x6	a	22500	4
6x6	a	22500	6
6x6	a	22500	6
6x6	a	22500	12
6x6	a	22500	7
