Variable	Valor	Neigh	Numero_ag	Tamaño_ag
Tamaño	0	0.921	129.6	17.26
Tamaño	3	0.897571429	144.1	14.5
Tamaño	6	0.877428571	146.8	13.5
Tamaño	9	0.923714286	141.3	13.36
Tamaño	12	0.932	124.9	13.9
Tamaño	17	0.947428571	103.9	16.52
Tamaño	24	0.941428571	76.6	21.42
Tamaño	31	0.946714286	53.2	34.26
Tamaño	3	0.906857143	133.9	16.26
Tamaño	6	0.902142857	133.1	15.32
Tamaño	9	0.873714286	125.2	15.16
Tamaño	12	0.930285714	109.4	17.1
Tamaño	18	0.927	118.1	17.76
Tamaño	25	0.939714286	114	19.2
Tamaño	31	0.954	92.2	22.56
Tamaño	37	0.953857143	85.1	26.2
Tamaño	41	0.946714286	35.2	48.94
Tamaño	48	0.966571429	59.6	35.68
Tamaño	3	0.919285714	135.5	17.92
Tamaño	6	0.909142857	130.6	20.02
Tamaño	9	0.909	131.9	17.3
Tamaño	12	0.922857143	131.5	16.78
Tamaño	19	0.935571429	118.8	18.9
Tamaño	25	0.940714286	104.9	21.16
Tamaño	31	0.951428571	102.5	22.48
Tamaño	35	0.963285714	86.3	27.46
Tamaño	42	0.956285714	78.8	31.42
Tamaño	46	0.965857143	66.2	34.82
Tamaño	3	0.912857143	132.6	16.72
Tamaño	6	0.916857143	134.7	16.44
Tamaño	9	0.913571429	129.4	16.86
Tamaño	12	0.931857143	130.3	17.02
Tamaño	19	0.94	121.9	17.8
Tamaño	25	0.939714286	111.8	20.5
Tamaño	28	0.941714286	103.7	22.58
Tamaño	36	0.948	94.7	25.68
Tamaño	40	0.962285714	76.3	30.18
Tamaño	49	0.964857143	78.7	30.24
Tamaño	3	0.915	127.8	16.76
Tamaño	6	0.910857143	134.9	16.76
Tamaño	9	0.919142857	131.8	19.48
Tamaño	12	0.926857143	126	21.18
Tamaño	18	0.933142857	120.7	18.94
Tamaño	21	0.933571429	113.2	20.52
Tamaño	30	0.942428571	106.6	21.26
Tamaño	34	0.943857143	96.2	26.34
Tamaño	41	0.954	90.4	24.92
Tamaño	47	0.954857143	84.1	28.26
Tamaño	3	0.912	132	16.88
Tamaño	6	0.917	132.5	16.54
Tamaño	9	0.920714286	131	16.66
Tamaño	12	0.928285714	126.7	17.8
Tamaño	17	0.925714286	119.6	18.56
Tamaño	24	0.938571429	115.7	18.78
Tamaño	28	0.936	108	20.62
Tamaño	37	0.950142857	101.9	23.28
Tamaño	41	0.948142857	97.1	25.02
Tamaño	46	0.947857143	78.9	30.58
Tamaño	3	0.923	131.4	16.46
Tamaño	6	0.912	131	16.46
Tamaño	9	0.917571429	126.7	16.44
Tamaño	11	0.921285714	130.1	17.28
Tamaño	18	0.928	123.5	17.7
Tamaño	22	0.936428571	119	18.94
Tamaño	30	0.939285714	115.8	18.7
Tamaño	36	0.939571429	104.2	22.64
Tamaño	40	0.948714286	96.5	24.82
Tamaño	50	0.951	96.9	24.18
Tamaño	3	0.918571429	130.1	16.2
Tamaño	6	0.911142857	126.3	17.5
Tamaño	9	0.910428571	128.3	16.7
Tamaño	12	0.921571429	122.8	17.32
Tamaño	17	0.927857143	128.1	16.98
Tamaño	24	0.929571429	121	18.24
Tamaño	29	0.943	116.6	19.8
Tamaño	34	0.935714286	107.4	22.5
Tamaño	44	0.944142857	107.5	22
Tamaño	48	0.943857143	102.2	24.16
Tamaño	3	0.912857143	130.1	17.72
Tamaño	6	0.914571429	128.3	17.64
Tamaño	9	0.919571429	127.4	17.68
Tamaño	12	0.925857143	129.9	17.96
Tamaño	18	0.925428571	125.7	18.06
Tamaño	24	0.929714286	122.4	18.54
Tamaño	28	0.935714286	117.7	20.32
Tamaño	39	0.937	112.5	20.12
Tamaño	42	0.941714286	111.1	20.58
Tamaño	48	0.946285714	103.6	22.18
Tamaño	3	0.915428571	130.7	16.2
Tamaño	6	0.910428571	131.4	17.7
Tamaño	9	0.923285714	131.8	16.64
Tamaño	12	0.922428571	126	19.2
Tamaño	18	0.923857143	125.4	18.18
Tamaño	22	0.921428571	120.4	18.14
Tamaño	32	0.930428571	119.1	19.62
Tamaño	36	0.932428571	116.6	20.28
Tamaño	42	0.94	111.4	20.9
Tamaño	47	0.943714286	103.7	23.56
Densidad	0	0.921	129.6	17.26
Densidad	0.166666667	0.897571429	144.1	14.5
Densidad	0.166666667	0.877428571	146.8	13.5
Densidad	0.166666667	0.923714286	141.3	13.36
Densidad	0.142857143	0.932	124.9	13.9
Densidad	0.166666667	0.947428571	103.9	16.52
Densidad	0.166666667	0.941428571	76.6	21.42
Densidad	0.166666667	0.946714286	53.2	34.26
Densidad	0.083333333	0.906857143	133.9	16.26
Densidad	0.076923077	0.902142857	133.1	15.32
Densidad	0.090909091	0.873714286	125.2	15.16
Densidad	0.090909091	0.930285714	109.4	17.1
Densidad	0.083333333	0.927	118.1	17.76
Densidad	0.083333333	0.939714286	114	19.2
Densidad	0.083333333	0.954	92.2	22.56
Densidad	0.076923077	0.953857143	85.1	26.2
Densidad	0.1	0.946714286	35.2	48.94
Densidad	0.083333333	0.966571429	59.6	35.68
Densidad	0.058823529	0.919285714	135.5	17.92
Densidad	0.058823529	0.909142857	130.6	20.02
Densidad	0.055555556	0.909	131.9	17.3
Densidad	0.055555556	0.922857143	131.5	16.78
Densidad	0.055555556	0.935571429	118.8	18.9
Densidad	0.055555556	0.940714286	104.9	21.16
Densidad	0.055555556	0.951428571	102.5	22.48
Densidad	0.0625	0.963285714	86.3	27.46
Densidad	0.055555556	0.956285714	78.8	31.42
Densidad	0.0625	0.965857143	66.2	34.82
Densidad	0.041666667	0.912857143	132.6	16.72
Densidad	0.041666667	0.916857143	134.7	16.44
Densidad	0.041666667	0.913571429	129.4	16.86
Densidad	0.04	0.931857143	130.3	17.02
Densidad	0.041666667	0.94	121.9	17.8
Densidad	0.04	0.939714286	111.8	20.5
Densidad	0.043478261	0.941714286	103.7	22.58
Densidad	0.041666667	0.948	94.7	25.68
Densidad	0.045454545	0.962285714	76.3	30.18
Densidad	0.04	0.964857143	78.7	30.24
Densidad	0.033333333	0.915	127.8	16.76
Densidad	0.032258065	0.910857143	134.9	16.76
Densidad	0.034482759	0.919142857	131.8	19.48
Densidad	0.033333333	0.926857143	126	21.18
Densidad	0.032258065	0.933142857	120.7	18.94
Densidad	0.035714286	0.933571429	113.2	20.52
Densidad	0.033333333	0.942428571	106.6	21.26
Densidad	0.035714286	0.943857143	96.2	26.34
Densidad	0.032258065	0.954	90.4	24.92
Densidad	0.033333333	0.954857143	84.1	28.26
Densidad	0.028571429	0.912	132	16.88
Densidad	0.027777778	0.917	132.5	16.54
Densidad	0.029411765	0.920714286	131	16.66
Densidad	0.027027027	0.928285714	126.7	17.8
Densidad	0.029411765	0.925714286	119.6	18.56
Densidad	0.027777778	0.938571429	115.7	18.78
Densidad	0.029411765	0.936	108	20.62
Densidad	0.027027027	0.950142857	101.9	23.28
Densidad	0.027777778	0.948142857	97.1	25.02
Densidad	0.029411765	0.947857143	78.9	30.58
Densidad	0.024390244	0.923	131.4	16.46
Densidad	0.023255814	0.912	131	16.46
Densidad	0.023809524	0.917571429	126.7	16.44
Densidad	0.024390244	0.921285714	130.1	17.28
Densidad	0.023809524	0.928	123.5	17.7
Densidad	0.025	0.936428571	119	18.94
Densidad	0.023255814	0.939285714	115.8	18.7
Densidad	0.024390244	0.939571429	104.2	22.64
Densidad	0.025	0.948714286	96.5	24.82
Densidad	0.022727273	0.951	96.9	24.18
Densidad	0.020833333	0.918571429	130.1	16.2
Densidad	0.02173913	0.911142857	126.3	17.5
Densidad	0.020408163	0.910428571	128.3	16.7
Densidad	0.020833333	0.921571429	122.8	17.32
Densidad	0.02173913	0.927857143	128.1	16.98
Densidad	0.020408163	0.929571429	121	18.24
Densidad	0.020833333	0.943	116.6	19.8
Densidad	0.02173913	0.935714286	107.4	22.5
Densidad	0.02	0.944142857	107.5	22
Densidad	0.020408163	0.943857143	102.2	24.16
Densidad	0.018181818	0.912857143	130.1	17.72
Densidad	0.018518519	0.914571429	128.3	17.64
Densidad	0.018867925	0.919571429	127.4	17.68
Densidad	0.019230769	0.925857143	129.9	17.96
Densidad	0.018181818	0.925428571	125.7	18.06
Densidad	0.018867925	0.929714286	122.4	18.54
Densidad	0.019230769	0.935714286	117.7	20.32
Densidad	0.017857143	0.937	112.5	20.12
Densidad	0.018181818	0.941714286	111.1	20.58
Densidad	0.018518519	0.946285714	103.6	22.18
Densidad	0.016949153	0.915428571	130.7	16.2
Densidad	0.017241379	0.910428571	131.4	17.7
Densidad	0.016393443	0.923285714	131.8	16.64
Densidad	0.016393443	0.922428571	126	19.2
Densidad	0.016949153	0.923857143	125.4	18.18
Densidad	0.017241379	0.921428571	120.4	18.14
Densidad	0.016129032	0.930428571	119.1	19.62
Densidad	0.016393443	0.932428571	116.6	20.28
Densidad	0.016666667	0.94	111.4	20.9
Densidad	0.016949153	0.943714286	103.7	23.56
Area	0	0.921	129.6	17.26
Area	9801	0.897571429	144.1	14.5
Area	22500	0.877428571	146.8	13.5
Area	32400	0.923714286	141.3	13.36
Area	36864	0.932	124.9	13.9
Area	48841	0.947428571	103.9	16.52
Area	57600	0.941428571	76.6	21.42
Area	61504	0.946714286	53.2	34.26
Area	3600	0.906857143	133.9	16.26
Area	9216	0.902142857	133.1	15.32
Area	18225	0.873714286	125.2	15.16
Area	24336	0.930285714	109.4	17.1
Area	32400	0.927	118.1	17.76
Area	40000	0.939714286	114	19.2
Area	47089	0.954	92.2	22.56
Area	49284	0.953857143	85.1	26.2
Area	60516	0.946714286	35.2	48.94
Area	57600	0.966571429	59.6	35.68
Area	2025	0.919285714	135.5	17.92
Area	6084	0.909142857	130.6	20.02
Area	9801	0.909	131.9	17.3
Area	14400	0.922857143	131.5	16.78
Area	23104	0.935571429	118.8	18.9
Area	30625	0.940714286	104.9	21.16
Area	34596	0.951428571	102.5	22.48
Area	44100	0.963285714	86.3	27.46
Area	44100	0.956285714	78.8	31.42
Area	52900	0.965857143	66.2	34.82
Area	1089	0.912857143	132.6	16.72
Area	3600	0.916857143	134.7	16.44
Area	6561	0.913571429	129.4	16.86
Area	9216	0.931857143	130.3	17.02
Area	17689	0.94	121.9	17.8
Area	22500	0.939714286	111.8	20.5
Area	28224	0.941714286	103.7	22.58
Area	32400	0.948	94.7	25.68
Area	40000	0.962285714	76.3	30.18
Area	38416	0.964857143	78.7	30.24
Area	729	0.915	127.8	16.76
Area	2304	0.910857143	134.9	16.76
Area	5184	0.919142857	131.8	19.48
Area	7056	0.926857143	126	21.18
Area	11664	0.933142857	120.7	18.94
Area	15876	0.933571429	113.2	20.52
Area	22500	0.942428571	106.6	21.26
Area	28900	0.943857143	96.2	26.34
Area	26896	0.954	90.4	24.92
Area	35344	0.954857143	84.1	28.26
Area	576	0.912	132	16.88
Area	1764	0.917	132.5	16.54
Area	3969	0.920714286	131	16.66
Area	5184	0.928285714	126.7	17.8
Area	10404	0.925714286	119.6	18.56
Area	14400	0.938571429	115.7	18.78
Area	19600	0.936	108	20.62
Area	21904	0.950142857	101.9	23.28
Area	26896	0.948142857	97.1	25.02
Area	33856	0.947857143	78.9	30.58
Area	441	0.923	131.4	16.46
Area	1296	0.912	131	16.46
Area	2916	0.917571429	126.7	16.44
Area	4356	0.921285714	130.1	17.28
Area	8100	0.928	123.5	17.7
Area	12100	0.936428571	119	18.94
Area	14400	0.939285714	115.8	18.7
Area	20736	0.939571429	104.2	22.64
Area	25600	0.948714286	96.5	24.82
Area	22500	0.951	96.9	24.18
Area	324	0.918571429	130.1	16.2
Area	1296	0.911142857	126.3	17.5
Area	2025	0.910428571	128.3	16.7
Area	3600	0.921571429	122.8	17.32
Area	7225	0.927857143	128.1	16.98
Area	9216	0.929571429	121	18.24
Area	13456	0.943	116.6	19.8
Area	18496	0.935714286	107.4	22.5
Area	17424	0.944142857	107.5	22
Area	20736	0.943857143	102.2	24.16
Area	225	0.912857143	130.1	17.72
Area	900	0.914571429	128.3	17.64
Area	2025	0.919571429	127.4	17.68
Area	3600	0.925857143	129.9	17.96
Area	5184	0.925428571	125.7	18.06
Area	9216	0.929714286	122.4	18.54
Area	12544	0.935714286	117.7	20.32
Area	13689	0.937	112.5	20.12
Area	15876	0.941714286	111.1	20.58
Area	20736	0.946285714	103.6	22.18
Area	225	0.915428571	130.7	16.2
Area	900	0.910428571	131.4	17.7
Area	1296	0.923285714	131.8	16.64
Area	2304	0.922428571	126	19.2
Area	5184	0.923857143	125.4	18.18
Area	7744	0.921428571	120.4	18.14
Area	9216	0.930428571	119.1	19.62
Area	11664	0.932428571	116.6	20.28
Area	15876	0.94	111.4	20.9
Area	19881	0.943714286	103.7	23.56
