Particula	MCS	Cell	Neigh	Numero_ag	Tamaño_ag
06x06	0	6305	0.6305	2192	12.8
06x06	400	8333	0.8333	2481	17
06x06	800	8764	0.8764	2339	20.2
06x06	1200	9012	0.9012	2270	21.6
06x06	1600	9119	0.9119	2197	21
06x06	2000	9208	0.9208	2136	22
06x06	2400	9314	0.9314	2026	24.4
06x06	2800	9366	0.9366	1967	26.6
06x06	3200	9432	0.9432	1921	26.2
06x06	3600	9479	0.9479	1863	28.6
06x06	4000	9516	0.9516	1815	26.2
06x06	4400	9550	0.955	1766	30.4
06x06	4800	9574	0.9574	1722	31.8
06x06	5200	9610	0.961	1698	28.4
06x06	5600	9614	0.9614	1681	30.4
06x06	6000	9639	0.9639	1620	30.8
06x06	6400	9663	0.9663	1574	34.6
06x06	6800	9668	0.9668	1531	32.8
06x06	7200	9670	0.967	1494	35.2
06x06	7600	9679	0.9679	1466	38.2
06x06	8000	9688	0.9688	1469	36
06x06	8400	9688	0.9688	1464	45.8
06x06	8800	9701	0.9701	1445	50.4
06x06	9200	9703	0.9703	1441	44
06x06	9600	9700	0.97	1428	39.4
06x06	10000	9698	0.9698	1401	37.4
06x06	0	6210	0.621	2148	12.4
06x06	400	8367	0.8367	2550	14
06x06	800	8767	0.8767	2421	17.2
06x06	1200	9028	0.9028	2307	19.6
06x06	1600	9128	0.9128	2199	23
06x06	2000	9247	0.9247	2112	22.2
06x06	2400	9315	0.9315	2041	25.4
06x06	2800	9377	0.9377	1948	28.2
06x06	3200	9429	0.9429	1885	28.6
06x06	3600	9467	0.9467	1844	28.4
06x06	4000	9506	0.9506	1784	27.2
06x06	4400	9550	0.955	1756	31.2
06x06	4800	9575	0.9575	1733	29.4
06x06	5200	9598	0.9598	1694	32.6
06x06	5600	9624	0.9624	1652	30.2
06x06	6000	9641	0.9641	1627	29.4
06x06	6400	9636	0.9636	1588	30.8
06x06	6800	9638	0.9638	1575	32.2
06x06	7200	9666	0.9666	1545	33
06x06	7600	9688	0.9688	1536	34.4
06x06	8000	9674	0.9674	1503	39.2
06x06	8400	9680	0.968	1459	47.2
06x06	8800	9685	0.9685	1478	39.4
06x06	9200	9692	0.9692	1444	41.6
06x06	9600	9706	0.9706	1434	34.8
06x06	10000	9723	0.9723	1423	41.2
06x06	0	6141	0.6141	2079	13
06x06	400	8243	0.8243	2424	12.6
06x06	800	8726	0.8726	2329	21.6
06x06	1200	8965	0.8965	2240	23.8
06x06	1600	9128	0.9128	2149	26.2
06x06	2000	9218	0.9218	2101	28.4
06x06	2400	9298	0.9298	2024	28
06x06	2800	9353	0.9353	1972	26.4
06x06	3200	9433	0.9433	1920	26.4
06x06	3600	9456	0.9456	1876	27.8
06x06	4000	9501	0.9501	1818	28.4
06x06	4400	9522	0.9522	1768	31.6
06x06	4800	9533	0.9533	1734	28.4
06x06	5200	9570	0.957	1688	32
06x06	5600	9591	0.9591	1670	29.4
06x06	6000	9621	0.9621	1641	31.6
06x06	6400	9627	0.9627	1603	35.2
06x06	6800	9642	0.9642	1604	39
06x06	7200	9651	0.9651	1576	31.2
06x06	7600	9660	0.966	1559	35.6
06x06	8000	9671	0.9671	1536	31.6
06x06	8400	9662	0.9662	1507	39.2
06x06	8800	9680	0.968	1492	40.6
06x06	9200	9682	0.9682	1484	38.4
06x06	9600	9700	0.97	1488	38.8
06x06	10000	9697	0.9697	1453	42.2
06x06	0	6161	0.6161	2103	10.4
06x06	400	8283	0.8283	2429	13.6
06x06	800	8742	0.8742	2320	15.6
06x06	1200	8949	0.8949	2252	20.6
06x06	1600	9089	0.9089	2125	24
06x06	2000	9188	0.9188	2028	25.6
06x06	2400	9264	0.9264	1974	26.6
06x06	2800	9344	0.9344	1935	26.8
06x06	3200	9406	0.9406	1893	28.2
06x06	3600	9431	0.9431	1858	27.8
06x06	4000	9482	0.9482	1811	32.6
06x06	4400	9515	0.9515	1787	31.2
06x06	4800	9545	0.9545	1764	33.2
06x06	5200	9591	0.9591	1710	35.8
06x06	5600	9602	0.9602	1674	35.4
06x06	6000	9606	0.9606	1628	36.2
06x06	6400	9624	0.9624	1629	33.8
06x06	6800	9629	0.9629	1569	36
06x06	7200	9639	0.9639	1568	35.4
06x06	7600	9659	0.9659	1548	33.2
06x06	8000	9666	0.9666	1520	39.8
06x06	8400	9680	0.968	1501	38.4
06x06	8800	9678	0.9678	1508	38
06x06	9200	9694	0.9694	1485	38
06x06	9600	9683	0.9683	1475	38.2
06x06	10000	9707	0.9707	1459	38.4
06x06	0	6219	0.6219	2189	14.4
06x06	400	8260	0.826	2444	15.2
06x06	800	8729	0.8729	2389	15.6
06x06	1200	8967	0.8967	2300	19.6
06x06	1600	9091	0.9091	2206	22
06x06	2000	9197	0.9197	2125	21.8
06x06	2400	9293	0.9293	2030	29
06x06	2800	9353	0.9353	1977	22.8
06x06	3200	9417	0.9417	1924	23.6
06x06	3600	9468	0.9468	1888	27.4
06x06	4000	9504	0.9504	1855	23.6
